Ds,x,g_x
0.27,-1.7,0.12251588647482192
0.27,-1.6749999999999998,0.12324167118497958
0.27,-1.65,0.12400604564504467
0.27,-1.625,0.12481111696818871
0.27,-1.5999999999999999,0.1256591111872791
0.27,-1.575,0.12655238007394753
0.27,-1.5499999999999998,0.12749340831606226
0.27,-1.525,0.1284848210624509
0.27,-1.5,0.12952939184160436
0.27,-1.4749999999999999,0.13063005085837856
0.27,-1.45,0.13178989366929417
0.27,-1.4249999999999998,0.13301219023278962
0.27,-1.4,0.13430039432557062
0.27,-1.375,0.13565815330986886
0.27,-1.3499999999999999,0.13708931822878706
0.27,-1.325,0.1385979541977822
0.27,-1.2999999999999998,0.14018835104950134
0.27,-1.275,0.1418650341763985
0.27,-1.25,0.14363277550057738
0.27,-1.2249999999999999,0.14549660448284257
0.27,-1.2,0.1474618190627245
0.27,-1.1749999999999998,0.14953399639797085
0.27,-1.15,0.15171900324538132
0.27,-1.125,0.15402300579462186
0.27,-1.0999999999999999,0.15645247873253082
0.27,-1.075,0.15901421327721893
0.27,-1.0499999999999998,0.16171532387882542
0.27,-1.025,0.16456325323708682
0.27,-1.0,0.16756577523500626
0.27,-0.9750000000000001,0.1707309953331602
0.27,-0.9499999999999997,0.1740673479110727
0.27,-0.9249999999999998,0.17758358998144355
0.27,-0.8999999999999999,0.18128879064102038
0.27,-0.875,0.18519231556019547
0.27,-0.8500000000000001,0.1893038057541273
0.27,-0.8249999999999997,0.19363314982410124
0.27,-0.7999999999999998,0.1981904488123712
0.27,-0.7749999999999999,0.2029859727810415
0.27,-0.75,0.20803010821058202
0.27,-0.7250000000000001,0.21333329532204223
0.27,-0.6999999999999997,0.21890595446536537
0.27,-0.6749999999999998,0.2247584007914389
0.27,-0.6499999999999999,0.2309007465450749
0.27,-0.625,0.2373427904874825
0.27,-0.5999999999999996,0.2440938941871011
0.27,-0.5749999999999997,0.25116284521305815
0.27,-0.5499999999999998,0.25855770763049774
0.27,-0.5249999999999999,0.26628566063352255
0.27,-0.5,0.2743528266579874
0.27,-0.47499999999999964,0.28276409088682064
0.27,-0.44999999999999973,0.2915229146834513
0.27,-0.4249999999999998,0.3006311461464871
0.27,-0.3999999999999999,0.31008883164636764
0.27,-0.375,0.3198940328507067
0.27,-0.34999999999999964,0.33004265433126645
0.27,-0.32499999999999973,0.34052828732852175
0.27,-0.2999999999999998,0.35134207558281366
0.27,-0.2749999999999999,0.3624726092769748
0.27,-0.25,0.3739058530302117
0.27,-0.22499999999999964,0.38562511350067324
0.27,-0.19999999999999973,0.39761105147049397
0.27,-0.17499999999999982,0.40984174229471093
0.27,-0.1499999999999999,0.4222927873071326
0.27,-0.125,0.4349374772274657
0.27,-0.09999999999999964,0.44774700686335933
0.27,-0.07499999999999973,0.46069073852854175
0.27,-0.04999999999999982,0.47373650970115555
0.27,-0.02499999999999991,0.4868509786328616
0.27,0.0,0.5
0.27,0.025000000000000355,0.5131490213671387
0.27,0.050000000000000266,0.5262634902988447
0.27,0.07500000000000018,0.5393092614714585
0.27,0.10000000000000009,0.5522529931366409
0.27,0.125,0.5650625227725343
0.27,0.15000000000000036,0.5777072126928676
0.27,0.17500000000000027,0.5901582577052893
0.27,0.20000000000000018,0.6023889485295062
0.27,0.2250000000000001,0.6143748864993269
0.27,0.25,0.6260941469697883
